Référence idealo;Titre chez idealo;Prix idealo (€);Version (outil, pack, accessoire);Référence sur mon site;Titre sur mon site;Mon prix de vente (€);Ma famille;Écart en euros;Écart en %;Sur quoi le rapprochement s'appuie;À REGARDER
DCR017;DeWALT DCR017 — DCR017;377,37;OUTIL;DCR017;DeWALT DCR017 — DCR017;510,20;Accessoires;132,83;+35 %;référence + variante;
DWK206;DeWALT DWK206 — DWK206;377,00;PACK;DWK206;DeWALT DWK206 — DWK206;509,70;Combos;132,70;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCH333N;DeWALT DCH333N — DCH333N;375,00;OUTIL;DCH333N;DeWALT DCH333N — DCH333N;507,00;Perforateurs;132,00;+35 %;référence + variante;
DCLE14251GB-XJ;DeWALT DCLE14251GB-XJ — DCLE14251GB-XJ;374,99;OUTIL;DCLE14251GB-XJ;DeWALT DCLE14251GB-XJ — DCLE14251GB-XJ;506,99;Accessoires;132,00;+35 %;référence + variante;
DCMWP134N-XJ;DeWALT DCMWP134N-XJ — DCMWP134N-XJ;374,94;OUTIL;DCMWP134N-XJ;DeWALT DCMWP134N-XJ — DCMWP134N-XJ;507,29;Tronçonnage et élagage;132,35;+35 %;référence + variante;
DCF6201;DeWALT DCF6201 — DCF6201;374,39;OUTIL;DCF6201;DeWALT DCF6201 — DCF6201;506,54;Accessoires;132,15;+35 %;référence + variante;
DCE822NG18-XJ;DeWALT DCE822NG18-XJ — DCE822NG18-XJ;374,00;OUTIL;DCE822NG18-XJ;DeWALT DCE822NG18-XJ — DCE822NG18-XJ;506,03;Accessoires;132,03;+35 %;référence + variante;
DCMST911N-XJ;DeWALT DCMST911N-XJ — DCMST911N-XJ;374,00;PACK;DCMST911N-XJ;DeWALT DCMST911N-XJ — DCMST911N-XJ;506,03;Tronçonnage et élagage;132,03;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCK2051P2T-QW;DeWalt 18V XR Battery Combo Pack (DCK2051P2T-QW);374,99;PACK;DCK2051P2T-QW;DeWALT DCK2051P2T-QW — Référence DCK2051P2T-QW — descriptif à compléter;506,99;Combos;132,00;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DWK201;DeWALT DWK201 — DWK201;392,00;PACK;DWK201;DeWALT DWK201 — DWK201;528,02;Combos;136,02;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCCS1100N;DeWALT DCCS1100N — DCCS1100N;389,83;PACK;DCCS1100N;DeWALT DCCS1100N — DCCS1100N;525,49;Tronçonnage et élagage;135,66;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DWK208;DeWALT DWK208 — DWK208;388,00;PACK;DWK208;DeWALT DWK208 — DWK208;523,02;Combos;135,02;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCN662NT-XJ;DeWALT DCN662NT-XJ — DCN662NT-XJ;385,73;OUTIL;DCN662NT-XJ;DeWALT DCN662NT-XJ — DCN662NT-XJ;520,34;Perçage, vissage et boulonnage;134,61;+35 %;référence + variante;
DXWDMMA200E;DeWALT DXWDMMA200E — DXWDMMA200E;385,08;OUTIL;DXWDMMA200E;DeWALT DXWDMMA200E — DXWDMMA200E;519,47;Accessoires;134,39;+35 %;référence + variante;
D25430K;DeWALT D25430K — D25430K;384,99;OUTIL;D25430K;DeWALT D25430K — D25430K;519,35;Perforateurs;134,36;+35 %;référence + variante;
DCF403NT-XJ;DeWALT DCF403NT-XJ — DCF403NT-XJ;382,52;OUTIL;DCF403NT-XJ;DeWALT DCF403NT-XJ — DCF403NT-XJ;516,41;Accessoires;133,89;+35 %;référence + variante;
DCG407M2T;DEWALT DCG407M2T;379,24;PACK;DCG407NT-XJ;DeWALT DCG407NT-XJ — DCG407NT-XJ;246,34;Meulage, découpe et polissage;132,90;−35 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DWS5021;Dewalt Scie circulaire plongeante 1300 w dewalt - dws520kt & Serre-joints pour Rails de Guidage DWS5021, DWS5022, DWS502;384,65;OUTIL;DWS5021;DeWALT DWS5021 — Scie circulaire plongeante 1300 w dewalt - dws520kt & Serre-joints pour Rails de Guidage DWS5021, DWS5022, DWS502;518,89;Scies;134,24;+35 %;référence + variante;
PPACK0001;PowerPack visseuse à chocs et meuleuse d'angle (2x5,0 Ah) - DEWALT PPACK0001;384,46;PACK+2X5.0;PPACK0001;DeWALT PPACK0001 — PowerPack visseuse à chocs et meuleuse d'angle (2x5,0 Ah) - DEWALT PPACK0001;518,64;Perçage, vissage et boulonnage;134,18;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCE085D1G;DeWALT DCE085D1G — DCE085D1G;393,23;PACK;DCE085D1G;DeWALT DCE085D1G — DCE085D1G;529,68;Accessoires;136,45;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCE6820N-XJ;DEWALT DCE6820N-XJ 1 pc(s);398,98;OUTIL;DCE6820N-XJ;DeWALT DCE6820N-XJ — DCE6820N-XJ 1 pc(s);536,63;Accessoires;137,65;+35 %;référence + variante;
DCK2222MP2T-QW;DeWalt McLaren 18V Kombopack DCK2222MP2T-QW;398,39;PACK;DCK2222MP2T-QW;DeWALT DCK2222MP2T-QW — McLaren 18V Kombopack DCK2222MP2T-QW;535,84;Combos;137,45;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCK2026P2T-QW;DeWalt 18V Combo Kit + 2 x 5.0Ah (DCK2026P2T-QW);394,88;PACK+2X5.0;DCK2026P2T-QW;DeWALT DCK2026P2T-QW — Référence DCK2026P2T-QW — descriptif à compléter;531,50;Combos;136,62;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCD240X2-QW;DEWALT DCD240X2-QW;679,00;PACK;DCD240N-XJ;DeWALT DCD240N-XJ — DCD240N-XJ;439,31;Perçage, vissage et boulonnage;239,69;−35 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCS691X2;DeWALT DCS691X2 Découpeuse a disque sans fil FlexVolt (230mm/54V/2x9,0Ah);908,06;PACK+2X9.0;DCS691N;DeWALT DCS691N — Découpeuse sans fil 54V XR FLEXVOLT Ø230 mm (machine seule);593,99;Meulage, découpe et polissage;314,07;−35 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DWST08061-1;DeWALT DWST08061-1 — DWST08061-1;188,99;OUTIL;DWST08061-1;DeWALT DWST08061-1 — DWST08061-1;256,08;Quincaillerie;67,09;+35 %;référence + variante;
DT8973-QZ;DeWalt SDS-plus 14x200x150 mm DT8973-QZ;189,91;OUTIL;DT8973-QZ;DeWALT DT8973-QZ — SDS-plus 14x200x150 mm DT8973-QZ;257,14;Quincaillerie;67,23;+35 %;référence + variante;
DWST83471;DeWALT DWST83471 — DWST83471;190,60;PACK;DWST83471;DeWALT DWST83471 — DWST83471;258,07;Quincaillerie;67,47;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DXIR1FFMLP3;DeWalt DXIR1FFMLP3 Masque Complet Léger Réutilisable Avec Filtres P3 - Taille L;191,99;PACK;DXIR1FFMLP3;DeWALT DXIR1FFMLP3 — DXIR1FFMLP3 Masque Complet Léger Réutilisable Avec Filtres P3 - Taille L;259,76;Quincaillerie;67,77;+35 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DE3472;DeWALT DE3472 — DE3472;196,99;OUTIL;DE3472;DeWALT DE3472 — DE3472;265,93;Quincaillerie;68,94;+35 %;référence + variante;
DNF25R70S316E;DeWalt Clou en bobine DNF 70mm 3,6kSt. anneau (DNF25R70S316E);200,10;OUTIL;DNF25R70S316E;DeWALT DNF25R70S316E — Clou en bobine DNF 70mm 3,6kSt. anneau (DNF25R70S316E);269,74;Quincaillerie;69,64;+35 %;référence + variante;
DXWT-507LS;DeWALT DXWT-507LS Diable Load Shift - Acier - 400 Kg;199,99;OUTIL;DXWT-507LS;DeWALT DXWT-507LS — DXWT-507LS Diable Load Shift - Acier - 400 Kg;269,59;Quincaillerie;69,60;+35 %;référence + variante;
DCF815D2;DEWALT DCF815D2;190,68;PACK;DCF815N;DeWALT DCF815N — DCF815N;256,08;Perçage, vissage et boulonnage;65,40;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCF901P1-QW;DEWALT DCF901P1-QW;207,95;PACK;DCF901NT;DeWALT DCF901NT — DCF901NT;279,49;Perçage, vissage et boulonnage;71,54;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCF922D1T-QW;Dewalt DCF922D1T-QW Clé à choc sans fil sans charbon 18V Li-ion XR - 1 X 2.0Ah Batrerie + chargeur en Tstak;240,20;ACCESSOIRE;DCF922N-XJ;"DeWALT DCF922N-XJ — Boulonneuse à chocs compacte 1/2"" 18V XR 406 Nm (machine seule)";157,46;Perçage, vissage et boulonnage;82,74;−34 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCS355D2;DeWalt DCS 355 D2 Oscillateur sans fil Multitool 18 V Brushless + 2x batterie 2,0 Ah + chargeur + accessoires;248,28;PACK+1X2.0+CHARGEUR;DCS355NT-XJ;DeWALT DCS355NT-XJ — Outil multifonctions oscillant 18V XR Brushless (solo, TSTAK);163,50;Outils multifonctions;84,78;−34 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCS355M1;DeWalt DCS355M1 Outil oscillant multi-cutter sans fil 18V Brushless + 1x Batterie 4,0Ah + Chargeur + Coffret TSTAK + Acc;245,87;PACK+1X4.0+COFFRET+CHARGEUR;DCS355NT-XJ;DeWALT DCS355NT-XJ — Outil multifonctions oscillant 18V XR Brushless (solo, TSTAK);163,50;Outils multifonctions;82,37;−34 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCF880M2;DEWALT DCF880M2;284,00;PACK;DCF880N;DeWALT DCF880N — DCF880N;187,07;Perçage, vissage et boulonnage;96,93;−34 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCD805P2T;Dewalt DCD805P2T Perceuse à percussion XR Brushless 18V 90Nm - 2 X 5Ah Batteries, chargeur en coffret;299,71;PACK+2X5+COFFRET+CHARGEUR;DCD805NT-XJ;DeWALT DCD805NT-XJ — Perceuse-visseuse à percussion 18V DCD805NT-XJ;401,42;Perçage, vissage et boulonnage;101,71;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
D25481K-QS;DeWALT D25481K-QS — D25481K-QS;409,09;OUTIL;D25481K-QS;DeWALT D25481K-QS — D25481K-QS;549,00;Perforateurs;139,91;+34 %;référence + variante;
DWK212;DeWALT DWK212 — DWK212;403,00;PACK;DWK212;DeWALT DWK212 — DWK212;541,63;Combos;138,63;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCD470N;DeWalt Battery-powered angle drill DCD470N;399,99;OUTIL;DCD470N;DeWALT DCD470N — Battery-powered angle drill DCD470N;537,98;Perçage, vissage et boulonnage;137,99;+34 %;référence + variante;
DCN682N;DeWALT DCN682N — DCN682N;424,00;OUTIL;DCN682N;DeWALT DCN682N — DCN682N;567,31;Perçage, vissage et boulonnage;143,31;+34 %;référence + variante;
DCMBC812N-XJ;DeWALT DCMBC812N-XJ — DCMBC812N-XJ;424,00;PACK;DCMBC812N-XJ;DeWALT DCMBC812N-XJ — DCMBC812N-XJ;567,31;Tronçonnage et élagage;143,31;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
WDCK796D2KX-QW;DeWALT WDCK796D2KX-QW — WDCK796D2KX-QW;423,14;OUTIL;WDCK796D2KX-QW;DeWALT WDCK796D2KX-QW — WDCK796D2KX-QW;566,58;Perçage, vissage et boulonnage;143,44;+34 %;référence + variante;
DCK2102L2T-QW;DeWALT DCK2102L2T-QW — DCK2102L2T-QW;421,99;PACK;DCK2102L2T-QW;DeWALT DCK2102L2T-QW — DCK2102L2T-QW;565,04;Combos;143,05;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DWE399-QS;DeWALT DWE399-QS — DWE399-QS;417,00;OUTIL;DWE399-QS;DeWALT DWE399-QS — DWE399-QS;558,78;Scies;141,78;+34 %;référence + variante;
DCS397N;DeWALT DCS397N — DCS397N;416,09;OUTIL;DCS397N;DeWALT DCS397N — DCS397N;557,56;Scies;141,47;+34 %;référence + variante;
DWK204;DeWALT DWK204 — DWK204;414,00;PACK;DWK204;DeWALT DWK204 — DWK204;555,18;Combos;141,18;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DWK209;DeWALT DWK209 — DWK209;414,00;PACK;DWK209;DeWALT DWK209 — DWK209;555,18;Combos;141,18;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCMPS635N-XJ;DeWALT DCMPS635N-XJ — DCMPS635N-XJ;414,00;OUTIL;DCMPS635N-XJ;DeWALT DCMPS635N-XJ — DCMPS635N-XJ;555,18;Tronçonnage et élagage;141,18;+34 %;référence + variante;
DCE800N-XJ;DeWALT DCE800N-XJ — DCE800N-XJ;412,72;OUTIL;DCE800N-XJ;DeWALT DCE800N-XJ — DCE800N-XJ;553,45;Scies;140,73;+34 %;référence + variante;
DWK200;DeWALT DWK200 — DWK200;410,00;PACK;DWK200;DeWALT DWK200 — DWK200;550,22;Combos;140,22;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCMST922N-XJ;Débroussailleuse 54V DCMST922N-XJ DEWALT;419,90;OUTIL;DCMST922N-XJ;DeWALT DCMST922N-XJ — Débroussailleuse 54V DCMST922N-XJ DEWALT;562,25;Tronçonnage et élagage;142,35;+34 %;référence + variante;
DCMPS635N;DeWALT - tronçonneuse AKU 54V 25 cm, sans batterie ni chargeur DCMPS635N;414,00;PACK+CHARGEUR;DCMPS635N-XJ;DeWALT DCMPS635N-XJ — DCMPS635N-XJ;555,18;Tronçonnage et élagage;141,18;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCMCST632N-XJ;DeWalt Tronçonneuse à Batterie Top-Handle 30cm, 54V (DCMCST632N-XJ);409,90;OUTIL;DCMCST632N-XJ;DeWALT DCMCST632N-XJ — Tronçonneuse à Batterie Top-Handle 30cm, 54V (DCMCST632N-XJ);550,08;Tronçonnage et élagage;140,18;+34 %;référence + variante;
DCH416NT-XJ;DeWALT DCH416NT-XJ — DCH416NT-XJ;438,65;PACK;DCH416NT-XJ;DeWALT DCH416NT-XJ — DCH416NT-XJ;585,60;Perforateurs;146,95;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCN950N-XJ;DeWALT DCN950N-XJ — DCN950N-XJ;438,32;OUTIL;DCN950N-XJ;DeWALT DCN950N-XJ — DCN950N-XJ;585,16;Perçage, vissage et boulonnage;146,84;+34 %;référence + variante;
DCS777N;DeWALT DCS777N — DCS777N;432,32;OUTIL;DCS777N;DeWALT DCS777N — DCS777N;577,58;Scies;145,26;+34 %;référence + variante;
DWK205;DeWALT DWK205 — DWK205;432,00;PACK;DWK205;DeWALT DWK205 — DWK205;577,15;Combos;145,15;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DWE398;DeWALT DWE398 — DWE398;426,86;OUTIL;DWE398;DeWALT DWE398 — DWE398;571,14;Scies;144,28;+34 %;référence + variante;
DWK207;DeWALT DWK207 — DWK207;425,00;PACK;DWK207;DeWALT DWK207 — DWK207;568,66;Combos;143,66;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
4250887742883;DeWALT 4250887742883 — 4250887742883;424,20;PACK;4250887742883;DeWALT 4250887742883 — 4250887742883;567,58;Batteries et chargeurs;143,38;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCF99MP2T;DeWalt McLaren F1 Team DCF99MP2T 2x 5,0 Ah + Ladegerät;434,99;PACK+2X5.0;DCF99MP2T;DeWALT DCF99MP2T — McLaren F1 Team DCF99MP2T 2x 5,0 Ah + Ladegerät;581,15;Perçage, vissage et boulonnage;146,16;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCG430E2T-QW;Meuleuse compacte 76 mm XR 18V 1.7ah li-ion brushless powerstack - DEWALT - DCG430E2T-QW;468,82;PACK+1X1.7;DCG430N;DeWALT DCG430N — DCG430N;310,10;Meulage, découpe et polissage;158,72;−34 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCK791D2T;DEWALT DCK791D2T;616,10;PACK;DCK791;DeWALT DCK791 — DCK791;404,18;Combos;211,92;−34 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCS777T2;DEWALT DCS777T2;880,00;PACK;DCS777N;DeWALT DCS777N — DCS777N;577,58;Scies;302,42;−34 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DT60844-QZ;DeWalt SDS-max 40x380x250 mm DT60844-QZ;205,31;OUTIL;DT60844-QZ;DeWALT DT60844-QZ — SDS-max 40x380x250 mm DT60844-QZ;276,14;Quincaillerie;70,83;+34 %;référence + variante;
DXWT-FT512;DeWALT DXWT-FT512 — DXWT-FT512;214,83;OUTIL;DXWT-FT512;DeWALT DXWT-FT512 — DXWT-FT512;287,87;Quincaillerie;73,04;+34 %;référence + variante;
DT9773-QZ;"DEWALT DT9773-QZ Corona de Diamante perforar en húmedo 152x400mm, acoplamiento 1 1/4"" UNC hembra Universal, Para materia";213,68;OUTIL;DT9773-QZ;"DeWALT DT9773-QZ — DT9773-QZ Corona de Diamante perforar en húmedo 152x400mm, acoplamiento 1 1/4"" UNC hembra Universal, Para materia";286,55;Quincaillerie;72,87;+34 %;référence + variante;
DT70585T;DeWALT DT70585T — DT70585T;219,24;OUTIL;DT70585T;DeWALT DT70585T — DT70585T;293,34;Quincaillerie;74,10;+34 %;référence + variante;
DT2400-QZ;DeWalt 228 mm 100 pièces (DT2400-QZ);221,59;PACK;DT2400-QZ;DeWALT DT2400-QZ — Référence DT2400-QZ — descriptif à compléter;296,27;Quincaillerie;74,68;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DT71516M-QZ;DeWalt DT71516M-QZ Coffret de 24 Tournevis pour Tableau de Bord;215,94;PACK+COFFRET;DT71516M-QZ;DeWALT DT71516M-QZ — DT71516M-QZ Coffret de 24 Tournevis pour Tableau de Bord;289,14;Quincaillerie;73,20;+34 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DT9765;DeWALT DT9765 — DT9765;224,08;OUTIL;DT9765;DeWALT DT9765 — DT9765;299,15;Quincaillerie;75,07;+34 %;référence + variante;
DT9771-QZ;DEWALT DT9771-QZ Couronne Diamant Forage en Eau, Jaune, 127 x 400 mm;223,44;OUTIL;DT9771-QZ;DeWALT DT9771-QZ — DT9771-QZ Couronne Diamant Forage en Eau, Jaune, 127 x 400 mm;298,51;Quincaillerie;75,07;+34 %;référence + variante;
DT9774-QZ;"DEWALT DT9774-QZ - Corona de diamante para perforar en húmedo 162x400mm, acoplamiento 1 1/4"" UNC hembra universal, para ";222,56;OUTIL;DT9774-QZ;"DeWALT DT9774-QZ — DT9774-QZ - Corona de diamante para perforar en húmedo 162x400mm, acoplamiento 1 1/4"" UNC hembra universal, para";297,34;Quincaillerie;74,78;+34 %;référence + variante;
DCF922E1;DeWalt DCF 922 E1 Clé à choc sans fil 18 V 406 Nm 1/2'' Brushless + 1x batterie Powerstack 1,7 Ah + chargeur;236,24;PACK+1X1.7+CHARGEUR;DCF922N-XJ;"DeWALT DCF922N-XJ — Boulonneuse à chocs compacte 1/2"" 18V XR 406 Nm (machine seule)";157,46;Perçage, vissage et boulonnage;78,78;−33 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCG440N;DeWALT DCG440N-XJ — Meuleuse d'angle 180 mm 54V XR FlexVolt Brushless (machine seule);274,74;OUTIL;DCG440N-XJ;DeWALT DCG440N-XJ — Meuleuse d'angle 180 mm 54V XR FlexVolt Brushless (machine seule);365,38;Meulage, découpe et polissage;90,64;+33 %;référence + variante;
DCS367NT-XJ;DEWALT - Scie Sabre Compact Brushless XR 18V Li-Ion - DCS367NT-XJ - Scie Électrique & Batterie XR 18V 4 Ah Li-Ion - DCB1;304,87;PACK+1X4;DCS367N-XJ;DeWALT DCS367N-XJ — Scie sabre compacte 18V XR Brushless (machine seule);204,95;Scies;99,92;−33 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCS331;Dewalt DCS331 P2 Scie Sauteuse + 2 X 5 Ah Batteries + chargeur et Coffret TSTAK;359,43;PACK+2X5+COFFRET+CHARGEUR;DCS331N-XJ;DeWALT DCS331N-XJ — Scie sauteuse DCS331N-XJ;242,41;Scies;117,02;−33 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
DCK200MP2T;DeWALT DCK200MP2T — DCK200MP2T;437,90;PACK;DCK200MP2T;DeWALT DCK200MP2T — DCK200MP2T;584,59;Combos;146,69;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCMW564N-XJ;DeWALT DCMW564N-XJ — DCMW564N-XJ;461,29;PACK;DCMW564N-XJ;DeWALT DCMW564N-XJ — DCMW564N-XJ;613,51;Tronçonnage et élagage;152,22;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DWE7485-QS;DeWALT DWE7485-QS — DWE7485-QS;459,37;OUTIL;DWE7485-QS;DeWALT DWE7485-QS — DWE7485-QS;610,97;Scies;151,60;+33 %;référence + variante;
DCH254M2;DeWALT DCH254M2 — DCH254M2;458,62;PACK;DCH254M2;DeWALT DCH254M2 — DCH254M2;609,96;Perforateurs;151,34;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCK2101L2T;DeWALT DCK2101L2T — DCK2101L2T;455,18;PACK;DCK2101L2T;DeWALT DCK2101L2T — DCK2101L2T;605,84;Combos;150,66;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCH832XN-XJ;DeWALT DCH832XN-XJ — DCH832XN-XJ;454,99;OUTIL;DCH832XN-XJ;DeWALT DCH832XN-XJ — DCH832XN-XJ;605,59;Perforateurs;150,60;+33 %;référence + variante;
DCS365N;DeWALT DCS365N — DCS365N;451,76;OUTIL;DCS365N;DeWALT DCS365N — DCS365N;601,74;Scies;149,98;+33 %;référence + variante;
DWE627KT-QS;DeWALT DWE627KT-QS — DWE627KT-QS;446,30;OUTIL;DWE627KT-QS;DeWALT DWE627KT-QS — DWE627KT-QS;594,91;Scies;148,61;+33 %;référence + variante;
D25334K-QS;DeWALT D25334K-QS — D25334K-QS;444,95;OUTIL;D25334K-QS;DeWALT D25334K-QS — D25334K-QS;593,12;Perforateurs;148,17;+33 %;référence + variante;
DWK202;DeWALT DWK202 — DWK202;443,00;PACK;DWK202;DeWALT DWK202 — DWK202;590,96;Combos;147,96;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DWK203;DeWALT DWK203 — DWK203;443,00;PACK;DWK203;DeWALT DWK203 — DWK203;590,96;Combos;147,96;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DEWDCN680N;DeWALT DEWDCN680N — DEWDCN680N;442,24;OUTIL;DEWDCN680N;DeWALT DEWDCN680N — DEWDCN680N;589,94;Perçage, vissage et boulonnage;147,70;+33 %;référence + variante;
DPC17PS;DeWALT DPC17PS — DPC17PS;441,00;OUTIL;DPC17PS;DeWALT DPC17PS — DPC17PS;588,30;Accessoires;147,30;+33 %;référence + variante;
DCH481N;DeWalt FlexVolt DCH 481 N;448,99;OUTIL;DCH481N;DeWALT DCH481N — FlexVolt DCH 481 N;598,06;Perforateurs;149,07;+33 %;référence + variante;
DWK210;DeWALT DWK210 — DWK210;480,00;PACK;DWK210;DeWALT DWK210 — DWK210;636,48;Combos;156,48;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCS374N;DeWALT DCS374N — DCS374N;480,00;OUTIL;DCS374N;DeWALT DCS374N — DCS374N;636,48;Scies;156,48;+33 %;référence + variante;
D25832K-QS;DeWALT D25832K-QS — D25832K-QS;474,52;OUTIL;D25832K-QS;DeWALT D25832K-QS — D25832K-QS;629,69;Perforateurs;155,17;+33 %;référence + variante;
DCK384P2T-QW;DeWALT DCK384P2T-QW — DCK384P2T-QW;472,40;PACK;DCK384P2T-QW;DeWALT DCK384P2T-QW — DCK384P2T-QW;626,88;Combos;154,48;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCK2052H2T-QW;DeWALT DCK2052H2T-QW — DCK2052H2T-QW;470,09;PACK;DCK2052H2T-QW;DeWALT DCK2052H2T-QW — DCK2052H2T-QW;624,28;Combos;154,19;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCS388N;DeWALT DCS388N — DCS388N;467,69;OUTIL;DCS388N;DeWALT DCS388N — DCS388N;621,10;Scies;153,41;+33 %;référence + variante;
DCE400NT-XJ;"Expander de tuyau en plastique DeWalt DCE400NT-XJ; 18 V (sans batterie et chargeur)";480,19;PACK+CHARGEUR;DCE400NT-XJ;"DeWALT DCE400NT-XJ — Expander de tuyau en plastique DeWalt DCE400NT-XJ; 18 V (sans batterie et chargeur)";636,73;Batteries et chargeurs;156,54;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DWV010;DEWALT DWV010 HEPA Dust Extractor with Automatic Filter Cleaning, 8-Gallon by;480,07;OUTIL;DWV010;DeWALT DWV010 — DWV010 HEPA Dust Extractor with Automatic Filter Cleaning, 8-Gallon by;636,58;Aspirateurs;156,51;+33 %;référence + variante;
DCBPSC0550-QW;Chargeur Powershift™ 550W - DCBPSC0550-QW DEWALT;469,90;PACK+CHARGEUR;DCBPSC0550-QW;DeWALT DCBPSC0550-QW — Chargeur Powershift™ 550W - DCBPSC0550-QW DEWALT;624,02;Batteries et chargeurs;154,12;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
GBH18V;Bosch Professional 18V System Perceuse sans fil GBH 18V-21 & 18V System Akku Kreissäge GKS 18V-57 G (Sägeblatt-Ø: 165 mm;464,68;PACK;GBH18V;DeWALT GBH18V — Bosch Professional 18V System Perceuse sans fil GBH 18V-21 & 18V System Akku Kreissäge GKS 18V-57 G (Sägeblatt-Ø: 165 mm;617,56;Perçage, vissage et boulonnage;152,88;+33 %;référence seule (variante différente);ATTENTION : rapproché sur la référence seule, la version peut différer
DCS389T2-QW;DEWALT DCS389T2-QW;559,24;PACK;DCS389NT-XJ;DeWALT DCS389NT-XJ — DCS389NT-XJ;374,46;Scies;184,78;−33 %;référence seule (variante différente);mon prix est SOUS le prix idealo — ATTENTION : rapproché sur la référence seule, la version peut différer
