Référence vue sur idealo;Prix le plus bas vu (€);Classe;Titre de la tuile
DCF921P2LRT;387,48;variante absente;DEWALT Clé à chocs sans fil 1/2'', 2 batteries 5,0 Ah Lanyard Ready, c
DCF921P2LRT-QW;419,69;variante absente;DeWALT DCF921P2LRT-QW Visseuse À Chocs Compacte À Batterie Li-ion 18 V
DCF921P2T-QW;306,85;variante absente;DeWalt DCF921P2T-QW
DCF922D1T-QW;240,2;variante absente;Dewalt DCF922D1T-QW Clé à choc sans fil sans charbon 18V Li-ion XR - 1
DCF922D2T-QW;257,73;variante absente;DeWalt DCF922D2T-QW
DCF922E1;236,24;variante absente;DeWalt DCF 922 E1 Clé à choc sans fil 18 V 406 Nm 1/2'' Brushless + 1x
DCF922E2;303,71;variante absente;DeWalt DCF 922 E2 Clé à choc 18 V 406 Nm 1/2'' Brushless + 2x Powersta
DCF922H1;313,35;variante absente;"DeWalt DCF 922 H1 Clé à choc sans fil 18 V 406 Nm 1/2"" Brushless + 1x "
DCF922H2;441,87;variante absente;"DeWalt DCF 922 H2 Clé à choc sans fil 18 V 406 Nm 1/2"" Brushless + 2x "
DCF922M1;247,48;variante absente;DeWalt DCF922M1
DCF922M2;308,53;variante absente;DeWalt DCF 922 M2 Clé à choc 18 V 406 Nm 1/2'' Brushless + 2x batterie
DCF922M2T-QW;284,31;variante absente;Dewalt DCF922M2T-QW Clé à choc sans fil sans charbon 18V Li-ion XR - 2
DCF922NA3;380,21;variante absente;DeWALT - Clé à chocs sans fil 18 V, 1 batterie Li-Ion 5,0 Ah, chargeur
DCF922P1;252,3;variante absente;DeWalt DCF 922 P1 Clé à choc sans fil 18 V 406 Nm 1/2'' Brushless + 1x
DCF922P1T-QW;249,81;variante absente;Dewalt DCF922P1T-QW Clé à choc sans fil sans charbon 18V Li-ion XR - 1
DCF922P2;319,77;variante absente;DeWalt DCF 922 P2 Clé à choc 18 V 406 Nm 1/2'' Brushless + 2x batterie
DCF922P2T;387,73;variante absente;Clé à chocs DeWALT DCF922P2T (2 x 5,0 Ah + DCB115 + TSTAK II)
DCF922P2T-QW;285,36;variante absente;DeWalt DCF922P2T-QW
DCF923P2G;349;variante absente;DeWalt DCF923P2G
DCF961;305,93;variante absente;DeWalt DCF961
DCF961E1T;434,4;variante absente;DeWalt DCF 961 E1T Clé à choc 18 V 1632 Nm 1/2'' Brushless + 1x batter
DCF961E2T;513,12;variante absente;DeWalt DCF961E2T
DCF961H1T;500,26;variante absente;"DeWalt DCF 961 H1T Clé à choc sans fil 18 V 1632 Nm 1/2"" Brushless + 1"
DCF961H2G;579,99;variante absente;DeWalt DCF961H2G
DCF961H2T;562,02;variante absente;DeWalt DCF961H2T
DCF961M1T;432,79;variante absente;DeWalt DCF 961 M1T Clé à choc 18 V 1632 Nm 1/2'' Brushless + 1x batter
DCF961M2T;493,84;variante absente;DeWalt DCF 961 M2T Clé à choc 18 V 1632 Nm 1/2'' Brushless + 2x batter
DCF961N;336,92;variante absente;DeWalt DCF961N
DCF961P1T;437,61;variante absente;DeWalt DCF 961 P1T Clé à choc 18 V 1632 Nm 1/2'' Brushless + 1x batter
DCF961P2T;503,48;variante absente;DeWalt DCF 961 P2T Clé à choc 18 V 1632 Nm 1/2'' Brushless + 2x batter
DCF964H1T;547,85;variante absente;Dewalt DCF964H1T Clé à chocs sans fil 18V Brushless 3/4 - 1 X 5.0Ah ba
DCF964H2G-QW;958,8;variante absente;Boulonneuse à chocs 3/4 pouces 18V - POWERSTACK - PACK GFN - DEWALT - 
DCF964H2T;647,82;variante absente;Dewalt DCF964H2T Clé à chocs sans fil 18V Brushless 3/4 - 2 batteries 
DCF964NT-XJ;299,9;variante absente;DeWalt DCF964NT-XJ
DCF964P1T;508,91;variante absente;Dewalt DCF964P1T Clé à chocs sans fil 18V Brushless 3/4 - 1 batterie 5
DCF964P2T;569,24;variante absente;Dewalt DCF964P2T Clé à chocs sans fil 18V Brushless 3/4 - 2 batteries 
DCFS950P2-QW;778,38;variante absente;DeWalt DCFS950P2-QW
DCG200T2;706,94;variante absente;DeWalt DCG200T2
DCG200X2-QW;823,96;variante absente;Dewalt DCG200X2-QW Rainureuse à béton XR Flexvolt 54V Li-Ion Brushless
DCG404NT;324,22;variante absente;Dewalt Dcg404nt Solo sans charbon
DCG404NT-XJ;258,83;variante absente;DeWALT DCG404NT-XJ Corps De Meuleuse D'angle Compacte Sans Fil 18 V Li
DCG404S2T-QW;462,14;variante absente;DeWALT DCG404S2T-QW Kit Meuleuse D'angle Compacte Sans Fil 18 V XR (2 
DCG405FN-XJ;190,23;variante absente;DEWALT - Meuleuse Tête Plate Brushless XR 18V 5Ah Li-Ion - DCG405FN-XJ
DCG405FNT-XJ;213,99;variante absente;DeWalt DCG405FNT-XJ
DCG405H1T-QW;298,71;variante absente;Dewalt DCG405H1T-QW Set meuleuse dangle Li-Ion 18V XR (1 x batterie Po
DCG405H2T-QW;373,33;variante absente;DeWalt DCG405H2T-QW
DCG405M1;245,87;variante absente;DeWalt DCG 405 M1 Meuleuse d'angle sans fil 18V 125mm Brushless + 1x b
DCG405M2;299,41;variante absente;Dewalt DCG405M2 Set meuleuse dangle Li-Ion 18V XR(2x batterie 4.0Ah) d
DCG405P1;276,69;variante absente;DeWalt DCG 405 P1 18 V 125 mm Meuleuse sans fil Brushless avec boîtier
DCG405P3-QW;344,05;variante absente;DeWalt DCG405P3-QW
DCG405S2T;529,99;variante absente;DeWalt DCG405S2T Meuleuse d'Angle sans Fil 125mm, 18V, 2x 3,5Ah Powers
DCG406H1;342,26;variante absente;DeWalt DCG 406 H1 Meuleuse d'angle sans fil 18 V 125 mm Brushless + 1x
DCG406H2;470,78;variante absente;DeWalt DCG 406 H2 Meuleuse d'angle sans fil 18 V 125 mm Brushless + 2x
DCG406M1;274,79;variante absente;DeWalt DCG 406 M1 Meuleuse d'angle sans fil 18 V 125 mm Brushless + 1x
DCG406M2;179,17;variante absente;DeWalt DCG 406 M2 Meuleuse d'angle sans fil brushless 18V 125mm, 2x ba
DCG406NT;268,37;variante absente;DeWalt DCG 406 NT Meuleuse d'angle sans fil 18V 125mm brushless (DCG40
DCG406NT-XJ;197,66;variante absente;DEWALT - Meuleuse Brushless XR 18V 5Ah Li-Ion - DCG406NT-XJ - Meuleuse
DCG406P1;273,19;variante absente;DeWalt DCG 406 P1 Meuleuse d'angle sans fil 18 V 125 mm Brushless + 1x
DCG406P2;340,66;variante absente;DeWalt DCG 406 P2 Meuleuse d'angle sans fil 18 V 125 mm Brushless + 2x
DCG407M2T;324,85;variante absente;DeWalt DCG407M2T Meuleuse d'angle sans fil 18V XR sans balais 125mm, 2
DCG407N-XJ;159;variante absente;DeWalt DCG407N-XJ
DCG408N;157,53;variante absente;DeWalt DCG408N Meuleuse d'Angle 125mm 18V Interrupteur Palette (DCG408
DCG409H2T;390,6;variante absente;DeWalt DCG409H2T
DCG409N;257,21;variante absente;DeWalt DCG409N Meuleuse d'Angle 18V 125mm XR FlexVolt Advantage (DCG40
DCG409NT;277,51;variante absente;DeWalt DCG409NT
DCG409T1-QW;405,89;variante absente;DeWalt DCG409T1-QW
DCG409VSN-XJ;244,45;variante absente;DeWalt DCG409VSN-XJ
DCG409VSNT-XJ;215,38;variante absente;DeWalt DCG409VSNT-XJ
DCG409VSP2-QW;376,69;variante absente;Dewalt DCG409VSP2-QW Meuleuse dangle Accu Flexvolt Advantage 125 mm vi
DCG409VST1;396,81;variante absente;DeWalt DCG409VST1
DCG409VSX1-QW;438,29;variante absente;Dewalt DCG409VSX1-QW Meuleuse dangle Accu Flexvolt Advantage 125 mm vi
DCG412M2;292,9;variante absente;DeWalt DCG412M2
DCG412NT-XJ;177,02;variante absente;DeWalt DCG412NT-XJ Solo + T-STAK Box
DCG414NT;295,52;variante absente;DeWalt DCG414NT
DCG414T2;1057,95;variante absente;DeWalt DCG414T2
DCG418;200,87;variante absente;DeWalt DCG418
DCG418N-XJ;212,05;variante absente;DeWalt DCG418N-XJ
DCG418NTA;744,29;variante absente;DeWALT - Meuleuse d'angle sans fil 54 V, 125 mm, avec accessoires, 3 b
DCG418SHDN-XJ;299,9;variante absente;DeWalt DCG418SHDN-XJ
DCG418SHDX2;703,93;variante absente;Meuleuse d'angle sans fil Dewalt avec poignée 125 mm 54 V XR FLEXVOLT 
DCG418T1-QW;369,82;variante absente;Dewalt DCG418T1-QW Meuleuse XR - 125mm - 54V - XR Flexvolt - 1 x 6,0 A
DCG418T2;426,23;variante absente;DeWalt DCG418T2
DCG418T2-GB;595;variante absente;DeWalt DCG418T2-GB
DCG418X1-QW;436,83;variante absente;Dewalt DCG418X1-QW Meuleuse XR - 125mm - 54V - XR Flexvolt - 1 x 9,0 A
DCG418X2;560,4;variante absente;DeWalt DCG418X2
DCG426H1;343,87;variante absente;Meuleuse droite sans fil DeWalt DCG 426 H1 18 V Brushless + 1 batterie
DCG426P2-QW;334,9;variante absente;DeWalt DCG426P2-QW
DCG430E2T-QW;471,46;variante absente;DeWALT DCG430E2T-QW Kit Tronçonneuse Sans Fil 18 V XR (2 Batteries Pow
DCG440B;492,85;variante absente;Dewalt DCG440B FLEXVOLT 60V MAX Brushless Lithium-Ion 7 in. Cordless G
DCG460;353;variante absente;DeWalt DCG460
DCG460N-XJ;353;variante absente;DeWalt DCG460N-XJ
DCG460X1-QW;599,74;variante absente;Dewalt DCG460X1-QW Meuleuse dangle sans fil 54V 230mm - 1X9.0Ah Batter
DCG460X2-QW;727,62;variante absente;DeWalt DCG460X2-QW
DCGG571;231,35;variante absente;DeWalt DCGG571
DCGG571E1K;417,48;variante absente;DeWalt DCGG571E1K
DCGG571H1K;463,31;variante absente;Pompe à graisse sans fil DeWalt DCGG 571 H1K 18 V + 1x Powerstack batt
DCGG571M1;340,74;variante absente;DeWalt DCGG571M1
DCGG571M1-QW;365,94;variante absente;DEWALT - Pompe A Graisse Electrique Sur Batterie XR 18V 4Ah Li-Ion - D
DCGG581P1G-QW;414,9;variante absente;DEWALT Pompe à graisse double vitesse XR 18V 5Ah - DCGG581P1G-QW
DCH072L2;214,78;variante absente;DeWalt DCH072L2
DCH072NT;197,6;variante absente;DeWalt DCH072NT
DCH072NT-XJ;197,6;variante absente;DeWalt DCH072NT-XJ
DCH072P2;271,34;variante absente;DeWalt DCH072P2
DCH133M1;215,11;variante absente;DeWalt DCH133M1
DCH133M2;346,27;variante absente;DeWalt DCH133M2
DCH133NT;159;variante absente;DeWalt DCH133NT
DCH133NT-XJ;194,86;variante absente;DEWALT - Perforateur-Burineur SDS-PLUS Brushless 2.6J 18V - DCH133NT-X
DCH133P1;298,6;variante absente;DeWalt DCH 133 P1 Marteau combiné sans fil 18V 2,6J SDS plus Brushless
DCH133P1T;302;variante absente;DeWALT DCH133P1T (1 x 5.0 Ah + DCB115 + TSTAK II)
DCH133P2;362,86;variante absente;DeWalt DCH 133 P2 Marteau combiné sans fil 18V 2,6J SDS plus Brushless
DCH133P2X;318,74;variante absente;DeWalt DCH133P2X
DCH172D2;316,01;variante absente;DeWalt DCH172D2
DCH172E2T-QW;328,93;variante absente;DeWalt DCH172E2T-QW
DCH172M1;293,01;variante absente;DeWalt DCH172M1 (1x 4.0 Ah battery + charger + TSTAK)
DCH172M2;354,06;variante absente;DeWalt DCH172M2 (2x 4.0 Ah battery + charger + TSTAK)
DCH172NT-SOLO;159;variante absente;DeWalt DCH172NT-Solo
DCH172P1;294,31;variante absente;DeWalt DCH172P1
DCH172P2;342,91;variante absente;DeWalt DCH172P2
DCH253M2;402,99;variante absente;DeWalt DCH253M2
DCH253P2;436;variante absente;DeWalt DCH253P2 XR 18V avec 2 batteries 5 Ah
DCH253P3;503;variante absente;DeWalt DCH253P3 Marteau Combiné 18V, 3x5,0Ah, avec Chargeur DCB115 & T
DCH263NK-XJ;197,53;variante absente;DeWalt DCH263NK-XJ
DCH263P1;304,9;variante absente;DeWalt DCH263P1
DCH263P2;388,42;variante absente;DeWalt DCH263P2
DCH273E1;345,88;variante absente;DeWalt DCH 273 E1 Marteau combiné sans fil 18 V 2,1 J SDS Plus Brushle
DCH273E2;423,79;variante absente;DeWalt DCH 273 E2 Marteau combiné sans fil 18 V 2,1 J SDS Plus Brushle
DCH273H2T;484,48;variante absente;DeWalt DCH273H2T
DCH273M1;345,48;variante absente;DeWalt DCH273M1 (1x 4.0 Ah battery + charger)
DCH273M2;403,31;variante absente;DeWalt DCH273M2
DCH273P1;359,94;variante absente;DeWalt DCH273P1 (1 x 5,0 Ah)
DCH273P2;207,88;variante absente;DeWalt DCH273P2 (2 x batteries 5,0 Ah + chargeur)
DCH273P2T;388;variante absente;DeWalt DCH273P2T
DCH273P3;488,46;variante absente;DeWalt DCH273P3 (3 x 5,0 Ah)
DCH273P3T;510;variante absente;Marteau combiné DeWALT DCH273P3T (3 x 5,0 Ah + DCB115 + TSTAK II)
DCH274P1T;443;variante absente;DeWalt DCH274P1T
DCH274P2;577,18;variante absente;DeWalt DCH274P2
DCH274P2T-QW;499,78;variante absente;DeWalt DCH274P2T-QW
DCH333NT-XJ;378,5;variante absente;DeWalt DCH333NT-XJ
DCH333T1;582;variante absente;DeWalt DCH333T1 FlexVolt Perforateur-burineur 54V/18V 6,0Ah + DCB118 +
DCH333T2T;700;variante absente;DeWalt DCH333T2T
DCH333X2-QW;701,71;variante absente;DeWalt DCH333X2-QW
DCH333Y1;700;variante absente;DeWalt FlexVolt DCH333Y1
DCH333Y2;936;variante absente;DeWalt DCH333Y2
DCH481X2-QW;881,66;variante absente;DeWalt DCH481X2-QW
DCH735N;645,25;variante absente;DeWalt DCH735N
DCH735X2;1180,57;variante absente;DeWalt DCH735X2
DCH775X2;1249;variante absente;DeWalt DCH775X2
DCH832;469,99;variante absente;DeWalt DCH832
DCH832X2-QW;899,9;variante absente;DeWalt DCH832X2-QW
DCH892X2;1102,49;variante absente;DeWalt DCH892X2
DCH911X3-QW;1163,97;variante absente;DeWalt DCH911X3-QW
DCH966Z2-QW;1939,14;variante absente;DeWalt DCH966Z2-QW
DCHJ067B-2XL;187,76;variante absente;DEWALT DCHJ067B-2XL Veste chauffante à capuche 20 V/12 V MAX Noir XXL
DCHJ067B-M;182,88;variante absente;DEWALT DCHJ067B-M Veste chauffante à capuche nue, 20 V/12 V MAX, noir,
DCK2020P2T/DT43906;404,8;variante absente;Pack 2 outils 18 V XR (DCD791/DCG405) + 25 disques à tronçonner (DT439
DCK2050H2T-QW;442,08;variante absente;DeWalt DCK2050H2T-QW (DCD805 + DCF850)
DCK2051E2T-QW;405,85;variante absente;DeWalt DCK2051E2T-QW
DCK2051H2T-QW;475,21;variante absente;DeWalt DCK2051H2T-QW
DCK2052H1E1T-QW;513,99;variante absente;DeWalt DCK2052H1E1T-QW
DCK2060L2T;313,13;variante absente;Dewalt 18V Combo Drill + Impact Wrench Set Dck2060L2T (Dcd778+Dcf787) 
DCK2061P2T;354;variante absente;DeWalt DCK2061P2T
DCK2062E2T-QW;280;variante absente;DeWalt DCK2062E2T-QW Combo Set (DCD709 + DCF809)
DCK2062L2T-QW;302,59;variante absente;DeWalt DCK2062L2T-QW
DCK2062M2T;265,19;variante absente;DeWalt DCK2062M2T
DCK2062P2T;365,48;variante absente;DeWalt DCK2062P2T
DCK246P2T-QW;922,88;variante absente;DeWalt DCK246P2T-QW
DCK266D2;300,64;variante absente;DeWalt Kit DCK266D2 (perceuse à percussion DCD796 + visseuse à chocs D
DCK266M2T;328,42;variante absente;DeWalt Combo Kit DCK266M2T (2 x 4,0 Ah + chargeur + T-stak box)
DCK266NDS;230;variante absente;Kit DeWALT DCK266NDS (DCD796 + DCF887 + DS150)
DCK266P2;295,8;variante absente;DeWalt Set DCK266P2
DCK266P2-QW;261,95;variante absente;DeWalt DCK266P2-QW (DCD796 + DCF887 + 2 x 5Ah 18V)
DCK266P2T;295,94;variante absente;DeWalt DCK266P2T (DCD796 + DCF887 + 2x5,0Ah 18V)
DCK266P3-QW;425;variante absente;DeWalt DCK266P3-QW
DCK266P3T;419,75;variante absente;DeWalt DCK266P3T
DCK276P3;822,27;variante absente;DeWalt DCK276P3
DCK276P3T;467,07;variante absente;DeWALT - Set perceuse à percussion et clé à chocs sans fil 18V, 3 batt
DCK278P2;540,63;variante absente;DeWalt DCK278P2 Pack combo batterie 18 V
DCK422P3-QW;790,12;variante absente;DeWalt DCK422P3-QW
DCK791D2KX;306,41;variante absente;DeWalt DCK791D2KX
DCK791D2T;616,1;variante absente;DeWalt DCK791D2T
DCK795;243,98;variante absente;DeWalt DCK795
DCK853P4T-QW;1702;variante absente;DeWalt DCK853P4T-QW
DCL040E2;190,82;variante absente;DeWalt DCL 040 E2 Lampe LED sans fil 18 V 110 lm + 2x Powerstack Batte
DCL074-P1;345,48;variante absente;DeWalt DCL074-P1
DCL074-P2;414,56;variante absente;DeWalt DCL074-P2
DCL077-P1;232,62;variante absente;DeWalt DCL077-P1
DCL077-P2;303,31;variante absente;DeWalt DCL077-P2
DCLE05211RL-XJ;1198,84;variante absente;Pack pro niveau laser rotatif horizontal - faisceaux rouges - alcaline
DCLE15211RL-QW;1199;variante absente;DEWALT Laser rotatif double pente USB-C Pack Pro - DCLE15211RL-QW
DCLE15221GL-QW;1932,55;variante absente;Pack laser rotatif DCLE15221GL-QW - Simple pente - Faisceaux verts - U
DCLE34031D1-QW;441,58;variante absente;DeWalt DCLE34031D1-QW
DCLE34035B;824,04;variante absente;DeWalt DCLE34035B
DCM200E2T-QW;399,99;variante absente;DeWalt DCM200E2T-QW
DCM200NT-XJ;249,99;variante absente;DeWalt DCM200NT-XJ
DCM561PBS;278,26;variante absente;Dewalt DCM 561 PBS Coupe-bordures sans fil 18V Brushless + 1x batterie
DCM562PB-QW;337,92;variante absente;DeWalt DCM562PB-QW
DCM563;150,89;variante absente;DeWalt DCM563
DCM563P1-QW;227,6;variante absente;DeWalt DCM563P1-QW (avec 1 batterie 5,0Ah)
DCM565P1;250,54;variante absente;DeWalt DCM565P1
DCM565P2-QW;453,84;variante absente;DeWALT Tronçonneuse sans fil DCM565P2-QW 18 V avec lame de 30 cm de lo
DCM571X1;394,38;variante absente;DeWalt DCM571X1
DCM572X1-QW;437,36;variante absente;DeWalt DCM572X1-QW
DCM575N;391,39;variante absente;DeWalt Tronçonneuse sans fil DCM575N
DCM848P2;388,9;variante absente;DeWalt DCM848P2
DCM849E1;341,22;variante absente;DeWalt DCM849E1 Polisseuse excentrique sans fil 18V 180mm Brushless (D
DCM849E2;408,69;variante absente;DeWalt DCM849E2
DCM849H1;418,33;variante absente;DeWalt DCM 849 H1 Polisseuse excentrique sans fil 18 V 180 mm Brushles
DCM849N;321,94;variante absente;DeWalt DCM849N Polisseuse Excentrique Sans Fil 18V 180mm Brushless (DC
DCM849P1;345,32;variante absente;DeWalt DCM849P1 Polisseuse Excentrique sans Fil 18V 180mm Brushless, 5
DCM849P2;418,03;variante absente;DeWalt DCM 849 P2 Polisseuse excentrique sans fil 18 V 180 mm Brushles
DCMAS5713X1-QW;413,84;variante absente;DeWalt DCMAS5713X1-QW
DCMBA572X1-QW;359;variante absente;DeWalt DCMBA572X1-QW
DCMBL562P1;298,17;variante absente;DeWalt DCMBL562P1
DCMBL562P1-QW;218,99;variante absente;DeWalt DCMBL562P1-QW
DCMBL777X1-QW;384,2;variante absente;DeWalt DCMBL777X1-QW
DCMCS565P1-QW;285,1;variante absente;DeWalt DCMCS565P1-QW (30cm)
DCMCS574X1-QW;464,09;variante absente;DeWalt DCMCS574X1-QW FlexVolt High Powered Body 54V 9.0 Ah
DCMCS575X1;517,63;variante absente;DeWALT - Tronçonneuse 54V AKU 50 cm, 1x batterie 9,0 Ah FLEXVOLT, char
DCMCS575X1-QW;517,63;variante absente;DeWalt DCMCS575X1-QW
DCMCST632X1;607,9;variante absente;DeWalt DCMCST632X1 Tronçonneuse à Batterie Top-Handle 54V 9,0Ah (DCMCS
DCMCST635X1;519,42;variante absente;DeWalt DCMCST635X1
DCMHT520D1;169,9;variante absente;DeWalt DCMHT520D1 Taille-haie Compact sans Fil 18V 2,0Ah Li-Ion (DCMHT
DCMHT562D2;271;variante absente;DeWalt DCMHT562D2 Taille-haie 18V, 2x2,0Ah (DCMHT562D2)
DCMHT562P1;271;variante absente;DeWalt Taille-haie DCMHT562P1, 18V, 5,0Ah (DCMHT562P1)
DCMHT562P1-QW;201,08;variante absente;DeWalt DCMHT562P1-QW XR
DCMHT563DCD-QW;566,23;variante absente;DeWalt DCMHT563DCD-QW
DCMHT563P1-QW;228,54;variante absente;DeWalt DCMHT563P1-QW with battery
DCMHT564P1-QW;246,1;variante absente;DeWalt DCMHT564P1-QW (1x Battery 5Ah + Charger)
DCMHT567P1-QW;293,9;variante absente;DeWalt DCMHT567P1-QW (1x Battery 5Ah + Charger)
DCMHT567P1-SK;325;variante absente;DeWalt Taille-haie DCMHT567P1-SK 18V, 5,0Ah (DCMHT567P1-SK)
DCMHT567P2-SK;386;variante absente;DeWalt DCMHT567P2-SK Taille-Haie sans Fil 2x5,0Ah + Chargeur DCB1104 (
DCMHT573X;730,09;variante absente;DeWalt DCMHT573X XR FlexVolt Taille-Haies 54V 65cm sans balais (DCMHT5
DCMHT573X1;360,25;variante absente;DeWalt DCMHT573X1
DCMPH566M1;303,15;variante absente;DeWalt DCMPH 566 M1 Taille-haies sans fil 18 V 55 cm + 1x batterie 4,0
DCMPH566M2;364,19;variante absente;DeWalt DCMPH 566 M2 Taille-haies sans fil 18 V 55 cm + 2x batterie 4,0
DCMPH566N;191,9;variante absente;DeWalt DCMPH566N Solo
DCMPH566P1;329,17;variante absente;DeWalt DCMPH 566 P1 Taille-haies sans fil 18 V 55 cm + 1x batterie 5,0
DCMPH566P1-QW;212,9;variante absente;DeWalt DCMPH566P1-QW
DCMPH566P2;400,18;variante absente;DeWalt DCMPH 566 P2 Taille-haies sans fil 18 V 55 cm + 2x batterie 5,0
DCMPP568D1-QW;245,09;variante absente;DeWALT DCMPP568D1-QW Kit Sécateur À Batterie Li-ion 18 V (1 Batterie 2
DCMPP568P1;224,46;variante absente;Cisaille sans fil DeWALT DCMPP568P1
DCMPP568P1-QW;210,06;variante absente;DeWalt DCMPP568P1-QW
DCMPP569P1;296,39;variante absente;DeWalt DCMPP569P1 XR Sécateur sur perche 18V 5,0Ah (DCMPP569P1-QW)
DCMPS520H1;325,16;variante absente;DeWalt DCMPS 520 H1 Scie à élaguer sans fil 18 V 20 cm Brushless + 1x 
DCMPS520H2;453,68;variante absente;DeWalt DCMPS 520 H2 Scie à élaguer sans fil 18 V 20 cm Brushless + 2x 
DCMPS520P2-QW;305,68;variante absente;Dewalt DCMPS520P2-QW Tronçonneuse élagueuse - Lame de 20 cm - XR - 18V
DCMPS567P1-QW;293,39;variante absente;DeWalt Perche élagueuse sans fil DCMPS567P1-QW
DCMPS567P2;404;variante absente;DeWalt DCMPS567P2 (2 x 5.0 Ah + DCB1104)
DCMST561P1-QW;243,59;variante absente;DeWalt DCMST561P1-QW
DCMW564P2;531,72;variante absente;DeWalt DCMW564P2 Tondeuse sans balais
DCMWP134W2-QW;739,9;variante absente;DeWalt DCMWP134W2-QW
DCN45RND2-QW;662,93;variante absente;DeWalt DCN45RND2-QW
DCN45RNN;574,84;variante absente;DeWalt DCN45RNN
DCN45RNNT-XJ;585;variante absente;DeWalt DCN45RNNT-XJ
DCN650P2;609,5;variante absente;DeWalt DCN650P2
DCN650P2-SK;605;variante absente;DeWalt DCN650P2-SK Cloueur, 2x 5,0Ah + DCB1104 (DCN650P2-SK)
DCN660D1-QW;439,81;variante absente;Dewalt DCN660D1-QW Cloueur de finition à batterie 16Ga XR 18V 1X2.0Ah 
DCN660D2-QW;450,64;variante absente;DeWalt DCN660D2-QW
DCN660M1;478,82;variante absente;Cloueuse sans fil DeWalt DCN 660 M1 18 V 32 - 63 mm sans balais + 1 ba
DCN660M2;539,86;variante absente;Cloueuse sans fil DeWalt DCN 660 M2 18 V 32 - 63 mm sans balais + 2 ba
DCN660NT;449,9;variante absente;Cloueuse sans fil DeWalt DCN 660 NT 18 V 32 - 63 mm sans balais + 1 ba
DCN660P1;483,64;variante absente;DeWalt DCN660P1
DCN660P1-QW;497,86;variante absente;Dewalt DCN660P1-QW Cloueur de finition à batterie 16Ga XR 18V 1 X 5,0A
DCN660P2;549,5;variante absente;DeWalt DCN660P2
DCN660P2-QW;549,06;variante absente;DeWalt DCN660P2-QW
DCN662;539;variante absente;DeWalt DCN662 Cloueur, 18V, 1x5,0Ah + DCB1104 (DCN662P1-SK)
DCN662D1-QW;488,91;variante absente;Dewalt DCN662D1-QW Finisseuse sans balais 16GA XR 18V 1 x 2.0Ah Batter
DCN662D2-QW;498,62;variante absente;DeWalt DCN662D2-QW
DCN662N;447;variante absente;DeWalt DCN662N
DCN680D2;480,88;variante absente;DeWalt DCN680D2
DCN681D2;515,1;variante absente;DeWalt DCN681D2
DCN682D2;649;variante absente;DeWalt DCN682D2 XR
DCN692P2;859;variante absente;DeWalt DCN692P2
DCN701D2;514,87;variante absente;Dewalt zszywacz 18v 2x2,0ah dcn701d2
DCN701D2-SK;385;variante absente;DeWalt DCN701D2-SK Agrafeuse d'Électricien 18V, 2x2,0Ah (DCN701D2-SK)
DCN930H1;633,6;variante absente;Cloueuse sans fil DeWalt DCN 930 H1 18 V 50 - 90 mm sans balais + 1 ba
DCN930H2;762,12;variante absente;Cloueuse sans fil DeWalt DCN 930 H2 18 V 50 - 90 mm sans balais + 2 ba
DCN930M1;566,13;variante absente;Cloueuse sans fil DeWalt DCN 930 M1 18 V 50 - 90 mm sans balais + 1 ba
DCN930M2;627,18;variante absente;Cloueuse sans fil DeWalt DCN 930 M2 18 V 50 - 90 mm sans balais + 2 ba
DCN930P1;572,56;variante absente;Cloueuse sans fil DeWalt DCN 930 P1 18 V 50 - 90 mm sans balais + 1 ba
DCN930P1-QW;518,76;variante absente;Dewalt DCN930P1-QW Cloueur sans fil brushless 18V XR - 1 X 5 Ah Batter
DCN930P2;641,64;variante absente;Cloueuse sans fil DeWalt DCN 930 P2 18 V 50 - 90 mm sans balais + 2 ba
DCN930P2-QW;544,49;variante absente;DeWalt DCN930P2-QW
DCP580M1;301,86;variante absente;DeWalt DCP580M1
DCP580M2;362,91;variante absente;DeWalt DCP 580 M2 18 V Rabot sans fil 82 mm + Coffret de transport TST
DCP580P1;329,98;variante absente;DeWalt DCP 580 P1 18 V Rabot sans fil 82 mm avec boîtier TSTAK VI + 1x
DCP580P1-QW;314,85;variante absente;Dewalt DCP580P1-QW Rabot XR 18V Li-Ion 1 X 5,0 Ah Batteries + chargeur
DCP580P2;385,4;variante absente;DeWalt DCP 580 P2 18 V Rabot sans fil 82 mm avec boîtier TSTAK VI + 2x
DCP580P2-QW;361,06;variante absente;DeWalt DCP580P2-QW
DCS312D2;164,8;variante absente;DeWalt DCS312D2
DCS312NT;199;variante absente;DeWalt DCS312NT
DCS331M;354,85;variante absente;DeWalt DCS331M
DCS331M1;282,02;variante absente;DeWalt DCS331M1
DCS331M2;328,62;variante absente;Dewalt DCS331M2 Scie Sauteuse + 2 X 4 Ah Batteries + chargeur et Coffr
DCS331NT;189,33;variante absente;DeWalt DCS331NT
DCS331P1;288,28;variante absente;DeWalt DCS331P1
DCS331P2;360,99;variante absente;DeWalt DCS331P2
DCS334E1;299,45;variante absente;DeWalt DCS 334 E1 Scie sauteuse oscillante sans fil 18 V Brushless + 1
DCS334E2;378,17;variante absente;DeWalt DCS 334 E2 Scie sauteuse oscillante sans fil 18 V Brushless + 2
DCS334E2T;400,39;variante absente;DeWalt DCS 334 E2T Scie sauteuse oscillante sans fil 18 V Brushless + 
